dataset_size,protocol,call_number,try_id,member,runtime,error,MBps
2583.42912,OSDF,3,3,2,14.700526714324951,,175.7371807285363
161.46432,OSDF-direct,1,3,2,8.298004150390625,,19.458211525767812
161.46432,OSDF-direct,2,3,2,5.362811088562012,,30.108149873930234
161.46432,OSDF-direct,3,3,2,7.107753038406372,,22.7166474591247
322.92864,OSDF-direct,1,3,2,7.546432018280029,,42.79222806456837
322.92864,OSDF-direct,2,3,2,6.411015510559082,,50.37090293544439
322.92864,OSDF-direct,3,3,2,6.724592447280884,,48.022038886620926
645.85728,OSDF-direct,1,3,2,8.897948980331421,,72.5849610317662
645.85728,OSDF-direct,2,3,2,7.168170928955078,,90.10070859096382
645.85728,OSDF-direct,3,3,2,7.288321256637573,,88.61536933649967
1291.71456,OSDF-direct,1,3,2,11.129111051559448,,116.06628364257364
1291.71456,OSDF-direct,2,3,2,8.755144357681274,,147.5377797587908
1291.71456,OSDF-direct,3,3,2,9.446927547454834,,136.73382732230334
2583.42912,OSDF-direct,1,3,2,,RuntimeError: error during blosc decompression: -1,
2583.42912,OSDF-direct,2,3,2,16.942301750183105,,152.48395159601495
2583.42912,OSDF-direct,3,3,2,,RuntimeError: error during blosc decompression: -1,
