dataset_size,protocol,call_number,try_id,member,runtime,error,MBps
161.46432,S3,1,1,0,2.7617523670196533,,58.464445229839455
161.46432,S3,2,1,0,1.3556299209594727,,119.10648880169343
161.46432,S3,3,1,0,2.3269238471984863,,69.38960215410397
322.92864,S3,1,1,0,3.3265035152435303,,97.07749849660347
322.92864,S3,2,1,0,3.2089717388153076,,100.63305827654911
322.92864,S3,3,1,0,3.2896249294281006,,98.1657930395551
645.85728,S3,1,1,0,5.147999048233032,,125.45792529267854
645.85728,S3,2,1,0,5.2358763217926025,,123.35227960061485
645.85728,S3,3,1,0,4.904790639877319,,131.6788681557577
1291.71456,S3,1,1,0,6.121416091918945,,211.01564419141982
1291.71456,S3,2,1,0,6.245057106018066,,206.8379100577376
1291.71456,S3,3,1,0,6.222079277038574,,207.60175216134454
2583.42912,S3,1,1,0,8.941253662109375,,288.9336571389174
2583.42912,S3,2,1,0,9.690710067749023,,266.5882171625101
2583.42912,S3,3,1,0,9.921508550643921,,260.38672514497114
161.46432,OSDF,1,1,0,1.4449093341827393,,111.74702535320422
161.46432,OSDF,2,1,0,24.79244828224182,,6.512641194683973
161.46432,OSDF,3,1,0,2.3801562786102295,,67.83769681471455
322.92864,OSDF,1,1,0,12.978681087493896,,24.881468141718205
322.92864,OSDF,2,1,0,4.103997230529785,,78.68636888878044
322.92864,OSDF,3,1,0,1.7280068397521973,,186.87926029639394
645.85728,OSDF,1,1,0,4.998192310333252,,129.21817327131572
645.85728,OSDF,2,1,0,4.523739576339722,,142.77065889866725
645.85728,OSDF,3,1,0,9.435285329818726,,68.45127173407997
1291.71456,OSDF,1,1,0,14.246995210647583,,90.66575378888517
1291.71456,OSDF,2,1,0,7.210115194320679,,179.1531099277676
1291.71456,OSDF,3,1,0,5.406713247299194,,238.90938929399442
2583.42912,OSDF,1,1,0,11.141640901565552,,231.87151181986064
2583.42912,OSDF,2,1,0,12.424910068511963,,207.923365702831
2583.42912,OSDF,3,1,0,12.796651363372803,,201.88321511941913
161.46432,OSDF-direct,1,1,0,7.238505601882935,,22.306305870371734
161.46432,OSDF-direct,2,1,0,6.169581174850464,,26.17103421188287
161.46432,OSDF-direct,3,1,0,5.504002332687378,,29.335801520484384
322.92864,OSDF-direct,1,1,0,8.235834121704102,,39.21019234092852
322.92864,OSDF-direct,2,1,0,5.561493635177612,,58.065092074799594
322.92864,OSDF-direct,3,1,0,6.867449045181274,,47.023084973100936
645.85728,OSDF-direct,1,1,0,9.303971290588379,,69.41737671238624
645.85728,OSDF-direct,2,1,0,5.490856409072876,,117.62414309957381
645.85728,OSDF-direct,3,1,0,6.656737804412842,,97.0230913363979
1291.71456,OSDF-direct,1,1,0,9.519764184951782,,135.68766357068566
1291.71456,OSDF-direct,2,1,0,10.251447439193726,,126.00313932854667
1291.71456,OSDF-direct,3,1,0,9.15343689918518,,141.1179837941512
2583.42912,OSDF-direct,1,1,0,17.954760789871216,,143.8854658234926
2583.42912,OSDF-direct,2,1,0,14.216065168380737,,181.72603244293245
2583.42912,OSDF-direct,3,1,0,11.551814794540405,,223.63837768771836
161.46432,S3,1,2,1,1.6506013870239258,,97.82150994742835
161.46432,S3,2,2,1,2.437678337097168,,66.2369261533803
161.46432,S3,3,2,1,2.513490676879883,,64.23907655008031
322.92864,S3,1,2,1,3.1098270416259766,,103.84135055663944
322.92864,S3,2,2,1,3.297797441482544,,97.92252123733395
322.92864,S3,3,2,1,3.0818636417388916,,104.78355876179931
645.85728,S3,1,2,1,5.000306129455566,,129.1635478466837
645.85728,S3,2,2,1,4.123412370681763,,156.63174621877906
645.85728,S3,3,2,1,5.214020013809204,,123.86935191837829
1291.71456,S3,1,2,1,6.235013961791992,,207.17107738901532
1291.71456,S3,2,2,1,6.467276334762573,,199.73084388815147
1291.71456,S3,3,2,1,6.216047763824463,,207.80319088237897
2583.42912,S3,1,2,1,9.084150314331055,,284.3886363179626
2583.42912,S3,2,2,1,8.987858533859253,,287.43544530297737
2583.42912,S3,3,2,1,9.134413242340088,,282.8237623436191
161.46432,OSDF,1,2,1,1.523224115371704,,106.00168312106766
161.46432,OSDF,2,2,1,54.415807008743286,,2.9672319290248996
161.46432,OSDF,3,2,1,2.753140926361084,,58.64731385669118
322.92864,OSDF,1,2,1,4.804503679275513,,67.21373560248693
322.92864,OSDF,2,2,1,33.57721138000488,,9.617494328081781
322.92864,OSDF,3,2,1,12.954967498779297,,24.927012748617738
645.85728,OSDF,1,2,1,4.122392892837524,,156.67048163268194
645.85728,OSDF,2,2,1,4.170449495315552,,154.86514840317759
645.85728,OSDF,3,2,1,9.63786244392395,,67.01250238398778
1291.71456,OSDF,1,2,1,9.489481210708618,,136.1206720702851
1291.71456,OSDF,2,2,1,5.851011037826538,,220.76775306850732
1291.71456,OSDF,3,2,1,15.863380670547485,,81.42744518501299
2583.42912,OSDF,1,2,1,19.090970993041992,,135.32203893356558
2583.42912,OSDF,2,2,1,13.026505708694458,,198.32096018471833
2583.42912,OSDF,3,2,1,17.0874240398407,,151.1889161278217
161.46432,OSDF-direct,1,2,1,8.11701250076294,,19.89208714226121
161.46432,OSDF-direct,2,2,1,6.093602418899536,,26.497350647494223
161.46432,OSDF-direct,3,2,1,5.559552907943726,,29.042680710762355
322.92864,OSDF-direct,1,2,1,9.02806544303894,,35.76941727299872
322.92864,OSDF-direct,2,2,1,7.498925447463989,,43.063321840225655
322.92864,OSDF-direct,3,2,1,5.727148532867432,,56.3855884209656
645.85728,OSDF-direct,1,2,1,9.349247694015503,,69.08120323022527
645.85728,OSDF-direct,2,2,1,7.200059413909912,,89.70165978800921
645.85728,OSDF-direct,3,2,1,6.6916821002960205,,96.51643194039794
1291.71456,OSDF-direct,1,2,1,11.665904521942139,,110.72562419574435
1291.71456,OSDF-direct,2,2,1,10.811017751693726,,119.48130968498607
1291.71456,OSDF-direct,3,2,1,8.90993857383728,,144.9745752224296
2583.42912,OSDF-direct,1,2,1,12.579884767532349,,205.36190654684043
2583.42912,OSDF-direct,2,2,1,12.242483854293823,,211.02164811872797
2583.42912,OSDF-direct,3,2,1,11.92210602760315,,216.69234563244183
161.46432,S3,1,3,2,3.398892641067505,,47.504977959318005
161.46432,S3,2,3,2,1.3862085342407227,,116.47909821045788
161.46432,S3,3,3,2,2.440473794937134,,66.16105460135017
322.92864,S3,1,3,2,3.2887420654296875,,98.19214568224524
322.92864,S3,2,3,2,3.2288999557495117,,100.01196829433503
322.92864,S3,3,3,2,3.1861157417297363,,101.35496202177596
645.85728,S3,1,3,2,5.398769855499268,,119.63045235983158
645.85728,S3,2,3,2,5.204358339309692,,124.09931021115403
645.85728,S3,3,3,2,5.256293058395386,,122.87314897110474
1291.71456,S3,1,3,2,6.351574897766113,,203.36917706100004
1291.71456,S3,2,3,2,6.17003870010376,,209.35274846465347
1291.71456,S3,3,3,2,6.0735955238342285,,212.6770798172196
2583.42912,S3,1,3,2,9.009175062179565,,286.755346873568
2583.42912,S3,2,3,2,10.650437355041504,,242.56554297998895
2583.42912,S3,3,3,2,8.970761060714722,,287.9832717107474
161.46432,OSDF,1,3,2,1.4734842777252197,,109.57994085235187
161.46432,OSDF,2,3,2,3.157785177230835,,51.13214197223933
161.46432,OSDF,3,3,2,2.238236904144287,,72.13906611093535
322.92864,OSDF,1,3,2,3.088111162185669,,104.57157240785372
322.92864,OSDF,2,3,2,11.538622617721558,,27.986758099188634
322.92864,OSDF,3,3,2,2.8557522296905518,,113.080062283622
645.85728,OSDF,1,3,2,4.212604284286499,,153.31544014450213
645.85728,OSDF,2,3,2,5.271865606307983,,122.51019434698937
645.85728,OSDF,3,3,2,4.258735418319702,,151.65470886539015
1291.71456,OSDF,1,3,2,14.114305257797241,,91.51811133505215
1291.71456,OSDF,2,3,2,10.160896301269531,,127.12604495713724
1291.71456,OSDF,3,3,2,9.069580793380737,,142.4227414063871
2583.42912,OSDF,1,3,2,24.29760980606079,,106.32441382590602
2583.42912,OSDF,2,3,2,14.21055793762207,,181.79645945923352
